agent,density,scenario,seed,success_rate,safe_success_rate,collision_per_episode,avg_episode_length,avg_jerk,avg_min_dist,freezing_rate,num_episodes
DS_RNN,13,random,9,0.97,0.3,2.56,26.43,0.06789487135956211,0.26689960025250914,0.02686341278849792,100
LSTM_RL,13,random,10,1.0,0.91,0.14,27.34,0.30532425404551045,0.3579690909385681,0.0032918800292611556,100
LSTM_RL,13,random,123,1.0,0.92,0.09,21.78,0.5726732327696922,0.3498441180586815,0.002295684113865932,100
LSTM_RL,13,random,42,1.0,0.92,0.12,22.32,0.5328169450964114,0.3563289301097393,0.002240143369175627,100
LSTM_RL,13,random,456,1.0,0.96,0.06,21.65,0.5555520406646821,0.35859946578741075,0.0023094688221709007,100
LSTM_RL,13,random,9,1.0,0.93,0.09,21.85,0.528770199945594,0.34832008749246596,0.002288329519450801,100
PSS_Social,15,random,10,1.0,0.96,0.04,30.58,0.48845405768706357,0.3557192260026932,0.005559189012426423,100
PSS_Social,15,random,123,1.0,0.95,0.07,28.84,0.5425228244443049,0.35223533257842066,0.0006934812760055479,100
PSS_Social,15,random,42,1.0,0.92,0.15,23.14,0.5401053644195973,0.3443036088347435,0.00432152117545376,100
PSS_Social,15,random,456,1.0,0.92,0.1,30.31,0.43119628160571694,0.3512295100092888,0.003299241174529858,100
PSS_Social,15,random,9,1.0,0.99,0.02,33.67,0.39341531903005483,0.36320802628993987,0.007425007425007425,100
SFM,15,random,42,0.42,0.41,0.09,79.6,0.11068966402761839,0.37239202469587324,0.05364321608040201,100
SFM,15,random,123,0.45,0.45,0.26,81.25,0.1066059760690806,0.3809705677628517,0.06203076923076923,100
SFM,15,random,456,0.37,0.37,0.06,86.36,0.12605040485114025,0.3765606154501438,0.0531496062992126,100
SFM,15,random,9,0.45,0.45,0.02,78.08,0.11439695861026689,0.379095823764801,0.04021516393442623,100
SFM,15,random,10,0.36,0.35,0.06,82.85,0.12219768346561778,0.37259228676557543,0.07109233554616777,100
ORCA,15,random,42,1.0,0.94,0.2,39.14,0.0792900328075214,0.3386222219467163,0.01660705160960654,100
